"attachment","limit","claim_count_above_attachment","mean_ceded_per_claim","ceded_per_exposure","loss_share_ceded"
1000,5000,11266,516.395340213827,36.043666551703,0.242442313417722
5000,5000,656,128.713182127186,8.98399860750076,0.0604295182627909
10000,5000,275,67.1161856498359,4.68461511442605,0.0315103604730085
25000,5000,113,31.4574500957922,2.19568565694275,0.0147689500302005
50000,5000,59,17.3848958655209,1.21344121609124,0.00816203021974951
1000,10000,11266,625.079043322413,43.6296357682882,0.293468196806871
5000,10000,656,195.829367777021,13.6686137219268,0.0919398787357992
10000,10000,275,113.492429392496,7.92161153017368,0.0532835310363582
25000,10000,113,58.9576663988626,4.1151619754493,0.0276800194005078
50000,10000,59,33.5253692602449,2.34002349854401,0.0157398168586718
1000,25000,11266,766.883937951922,53.5274174471643,0.36004413975341
5000,25000,656,311.012174772879,21.7082112251281,0.146017024711709
10000,25000,275,209.799208948767,14.6436889361341,0.0984985758192271
25000,25000,113,123.207341944256,8.59969872679635,0.0578445827931854
50000,25000,59,72.3782213707418,5.05189778748222,0.0339808322494093
1000,50000,11266,886.928928990793,61.906388540156,0.41640403124589
5000,50000,656,420.146962486869,29.3256655110732,0.197254687694446
10000,50000,275,307.574253754407,21.4682491860253,0.144402956070577
25000,50000,113,195.585563314998,13.6515965142786,0.0918254150425946
50000,50000,59,115.483715468762,8.06060049028375,0.0542184194162701
1000,1e+05,11266,1000.28267721402,69.8183203202761,0.469622452896307
5000,1e+05,656,525.661887398798,36.6904584779864,0.246792862235588
10000,1e+05,275,404.364810580303,28.2240935632067,0.189845129317421
25000,1e+05,113,273.186391446766,19.0680248890181,0.128258207576328
50000,1e+05,59,174.637661454794,12.1894625041336,0.0819905900688983
